Opinion,Sentimiento
"Estimados foreros alguno sabe cómo es la Calidad de enseñanza de la utp sede centro en psicología, alguien que esté estudiando actualmente Psicólogia en la utp o que conozca a alguien cercano, ¿Tienen convenios? ¿Calidad de laboratorios?. Estoy orientado a la Psicólogia Organizacional.
De antemano gracias por su ayuda",Neutral
Hay laboratorios para psicologia?,Neutral
Si si hay vi 4 en la central,Neutral
qué otras opciones consideraste?,Neutral
"º_Bruno_º escribió: ↑
qué otras opciones consideraste?
estoy considerando la utp y Ruiz de Montoya

tubin08 escribió: ↑
Si si hay vi 4 en la central
Sabes si es buena en psicología organizacional?, Que tal son los profesores?, Los horarios?
En relación Calidad/ Precio cuánto puntaje del 1 al 10 le pones?",Neutral
"Luis Sada escribió: ↑
estoy considerando la utp y Ruiz de Montoya
averiguaste los pensión que te tocaría en cada uno?",Neutral
"Luis Sada escribió: ↑
estoy considerando la utp y Ruiz de Montoya


Sabes si es buena en psicología organizacional?, Que tal son los profesores?, Los horarios?
En relación Calidad/ Precio cuánto puntaje del 1 al 10 le pones?
Sorry broz, soy una carrera opuesta, pero preguntaré a amigos de ciclos superiores",Negativo
"tubin08 escribió: ↑
Sorry broz, soy una carrera opuesta, pero preguntaré a amigos de ciclos superiores
Gracias Tubin08",Negativo
"campeón, mejor preparate un anual aduni y postulas en septiembre.",Neutral
"Entre la UTP y UARM yo optaría por la segunda (Ruiz de Montoya), tienen un buen enfoque en humanidades/letras y además esa universidad es de los jesuitas y en cuanto a poner universidades ellos se manejan un estándar decente de calidad, han puesto muy buenas universidades en América Latina. También agregar que la UARM consiguió el licenciamiento muchísimo antes que la UTP.

Lo malo es que tu te vas para la rama organizacional y en eso la UL, UPC, UESAN y alguna que otra más son mejores opciones porque son buenas en la rama de empresariales.",Neutral
Y la San Martin ??,Neutral
"º_Bruno_º escribió: ↑
Entre la UTP y UARM yo optaría por la segunda (Ruiz de Montoya), tienen un buen enfoque en humanidades/letras y además esa universidad es de los jesuitas y en cuanto a poner universidades ellos se manejan un estándar decente de calidad, han puesto muy buenas universidades en América Latina. También agregar que la UARM consiguió el licenciamiento muchísimo antes que la UTP.
Lo malo es que tu te vas para la rama organizacional y en eso la UL, UPC, UESAN y alguna que otra más son mejores opciones porque son buenas en la rama de empresariales.
La única que me da facilidades de horarios es la UTP, bueno la ESAN, UPC están fuera de mi presupuesto.",Neutral
"Luis Sada escribió: ↑
La única que me da facilidades de horarios es la UTP, bueno la ESAN, UPC están fuera de mi presupuesto.
Creo que por ser de intercorp tendrás más oportunidades",Neutral
